,Tanggal,Shift,Subtotal,Jumlah Transaksi,Tanggal_month,Jumlah Transaksi_1month,Subtotal_1month
238,2022-02-26,1,3888000,23,2022-01-29,140.0,27104000.0
239,2022-02-26,2,6860000,44,2022-01-29,140.0,27104000.0
240,2022-02-27,1,2635000,17,2022-01-30,140.0,26204000.0
241,2022-02-27,2,10782500,61,2022-01-30,140.0,26204000.0
242,2022-02-28,1,3204500,21,2022-01-31,140.0,28140000.0
243,2022-02-28,2,8707500,50,2022-01-31,140.0,28140000.0
244,2022-03-01,1,2092000,17,2022-02-01,118.0,19634000.0
245,2022-03-01,2,5086000,34,2022-02-01,118.0,19634000.0
246,2022-03-02,1,3294500,24,2022-02-02,96.0,17880000.0
247,2022-03-02,2,7136000,39,2022-02-02,96.0,17880000.0
248,2022-03-03,1,4134000,20,2022-02-03,122.0,16678000.0
249,2022-03-03,2,9316000,49,2022-02-03,122.0,16678000.0
250,2022-03-04,1,2791000,20,2022-02-04,110.0,14613000.0
251,2022-03-04,2,6125000,43,2022-02-04,110.0,14613000.0
252,2022-03-05,1,4161000,31,2022-02-05,122.0,20919000.0
253,2022-03-05,2,6496500,41,2022-02-05,122.0,20919000.0
254,2022-03-06,1,3392000,21,2022-02-06,130.0,23042000.0
255,2022-03-06,2,7519000,45,2022-02-06,130.0,23042000.0
256,2022-03-07,1,2750000,14,2022-02-07,108.0,18432000.0
257,2022-03-07,2,3772000,25,2022-02-07,108.0,18432000.0
258,2022-03-08,1,4183000,26,2022-02-08,98.0,15471000.0
259,2022-03-08,2,6138000,33,2022-02-08,98.0,15471000.0
260,2022-03-09,1,2058000,16,2022-02-09,128.0,20858000.0
261,2022-03-09,2,4553000,29,2022-02-09,128.0,20858000.0
262,2022-03-10,1,1831000,12,2022-02-10,104.0,20610000.0
263,2022-03-10,2,5671000,35,2022-02-10,104.0,20610000.0
264,2022-03-11,1,2512000,14,2022-02-11,134.0,20648000.0
265,2022-03-11,2,6209000,33,2022-02-11,134.0,20648000.0
266,2022-03-12,1,3261000,26,2022-02-12,134.0,21490000.0
267,2022-03-12,2,7790000,47,2022-02-12,134.0,21490000.0
268,2022-03-13,1,4086000,20,2022-02-13,144.0,30564000.0
269,2022-03-13,2,4386000,28,2022-02-13,144.0,30564000.0
270,2022-03-14,1,2633000,13,2022-02-14,98.0,16448000.0
271,2022-03-14,2,6081000,37,2022-02-14,98.0,16448000.0
272,2022-03-15,1,1392000,12,2022-02-15,108.0,16358000.0
273,2022-03-15,2,4900000,24,2022-02-15,108.0,16358000.0
274,2022-03-16,1,4001000,24,2022-02-16,104.0,15346000.0
275,2022-03-16,2,7349500,42,2022-02-16,104.0,15346000.0
276,2022-03-17,1,4004000,22,2022-02-17,100.0,20308000.0
277,2022-03-17,2,4576000,30,2022-02-17,100.0,20308000.0
278,2022-03-18,1,4889000,32,2022-02-18,98.0,14416000.0
279,2022-03-18,2,6468000,42,2022-02-18,98.0,14416000.0
280,2022-03-19,1,4699000,26,2022-02-19,110.0,15268000.0
281,2022-03-19,2,6884000,44,2022-02-19,110.0,15268000.0
282,2022-03-20,1,3427000,17,2022-02-20,106.0,18210000.0
283,2022-03-20,2,5192000,30,2022-02-20,106.0,18210000.0
284,2022-03-21,1,2096000,15,2022-02-21,118.0,16760000.0
285,2022-03-21,2,5676000,34,2022-02-21,118.0,16760000.0
286,2022-03-22,1,3889000,13,2022-02-22,98.0,15727000.0
287,2022-03-22,2,7087000,40,2022-02-22,98.0,15727000.0
288,2022-03-23,1,2466000,16,2022-02-23,90.0,16052000.0
289,2022-03-23,2,7608000,42,2022-02-23,90.0,16052000.0
290,2022-03-24,1,3116000,20,2022-02-24,90.0,15562000.0
291,2022-03-24,2,5712000,29,2022-02-24,90.0,15562000.0
292,2022-03-25,1,3503000,23,2022-02-25,110.0,17390000.0
293,2022-03-25,2,7041500,36,2022-02-25,110.0,17390000.0
294,2022-03-26,1,4507000,28,2022-02-26,134.0,21496000.0
295,2022-03-26,2,9751000,51,2022-02-26,134.0,21496000.0
296,2022-03-27,1,4585000,24,2022-02-27,156.0,26835000.0
297,2022-03-27,2,10517000,48,2022-02-27,156.0,26835000.0
298,2022-03-28,1,2631000,19,2022-02-28,142.0,23824000.0
299,2022-03-28,2,6423000,39,2022-02-28,142.0,23824000.0
300,2022-03-29,1,4530000,23,2022-03-01,102.0,14356000.0
301,2022-03-29,2,8669000,47,2022-03-01,102.0,14356000.0
302,2022-03-30,1,2464000,16,2022-03-02,126.0,20861000.0
303,2022-03-30,2,6351000,44,2022-03-02,126.0,20861000.0
304,2022-03-31,1,5198000,27,2022-03-03,138.0,26900000.0
305,2022-03-31,2,6139000,38,2022-03-03,138.0,26900000.0
306,2022-04-01,1,3045000,19,2022-03-04,126.0,17832000.0
307,2022-04-01,2,7791000,43,2022-03-04,126.0,17832000.0
308,2022-04-02,1,3532000,23,2022-03-05,144.0,21315000.0
309,2022-04-02,2,11638000,57,2022-03-05,144.0,21315000.0
310,2022-04-03,1,456000,4,2022-03-06,132.0,21822000.0
311,2022-04-03,2,5463000,36,2022-03-06,132.0,21822000.0
312,2022-04-04,1,842000,7,2022-03-07,78.0,13044000.0
313,2022-04-04,2,3541000,29,2022-03-07,78.0,13044000.0
314,2022-04-05,1,1331000,13,2022-03-08,118.0,20642000.0
315,2022-04-05,2,4051000,32,2022-03-08,118.0,20642000.0
316,2022-04-06,1,685000,6,2022-03-09,90.0,13222000.0
317,2022-04-06,2,4148000,32,2022-03-09,90.0,13222000.0
318,2022-04-07,1,877000,10,2022-03-10,94.0,15004000.0
319,2022-04-07,2,4239000,24,2022-03-10,94.0,15004000.0
320,2022-04-08,1,980000,7,2022-03-11,94.0,17442000.0
321,2022-04-08,2,6114000,34,2022-03-11,94.0,17442000.0
322,2022-04-09,1,647000,7,2022-03-12,146.0,22102000.0
323,2022-04-09,2,3969000,30,2022-03-12,146.0,22102000.0
324,2022-04-10,1,500000,4,2022-03-13,96.0,16944000.0
325,2022-04-10,2,9242000,48,2022-03-13,96.0,16944000.0
326,2022-04-11,1,606000,9,2022-03-14,100.0,17428000.0
327,2022-04-11,2,4556000,30,2022-03-14,100.0,17428000.0
328,2022-04-12,1,511000,5,2022-03-15,72.0,12584000.0
329,2022-04-12,2,2677000,23,2022-03-15,72.0,12584000.0
330,2022-04-13,1,767500,7,2022-03-16,132.0,22701000.0
331,2022-04-13,2,2395000,18,2022-03-16,132.0,22701000.0
332,2022-04-14,1,1491000,9,2022-03-17,104.0,17160000.0
333,2022-04-14,2,2659000,20,2022-03-17,104.0,17160000.0
334,2022-04-15,1,794000,7,2022-03-18,148.0,22714000.0
335,2022-04-15,2,6094000,36,2022-03-18,148.0,22714000.0
336,2022-04-16,1,1025000,9,2022-03-19,140.0,23166000.0
337,2022-04-16,2,5748000,38,2022-03-19,140.0,23166000.0
338,2022-04-17,1,1320500,9,2022-03-20,94.0,17238000.0
339,2022-04-17,2,7984000,42,2022-03-20,94.0,17238000.0
340,2022-04-18,1,1462000,11,2022-03-21,98.0,15544000.0
341,2022-04-18,2,2893000,23,2022-03-21,98.0,15544000.0
342,2022-04-19,1,528000,5,2022-03-22,106.0,21952000.0
343,2022-04-19,2,2919500,19,2022-03-22,106.0,21952000.0
344,2022-04-20,1,1147000,10,2022-03-23,116.0,20148000.0
345,2022-04-20,2,5255000,33,2022-03-23,116.0,20148000.0
346,2022-04-21,1,872000,8,2022-03-24,98.0,17656000.0
347,2022-04-21,2,5107000,34,2022-03-24,98.0,17656000.0
348,2022-04-22,1,725000,6,2022-03-25,118.0,21089000.0
349,2022-04-22,2,5478000,38,2022-03-25,118.0,21089000.0
350,2022-04-23,1,1819000,12,2022-03-26,158.0,28516000.0
351,2022-04-23,2,8242500,49,2022-03-26,158.0,28516000.0
352,2022-04-24,1,888000,7,2022-03-27,144.0,30204000.0
353,2022-04-24,2,8037000,48,2022-03-27,144.0,30204000.0
354,2022-04-25,1,1237000,10,2022-03-28,116.0,18108000.0
355,2022-04-25,2,7825000,41,2022-03-28,116.0,18108000.0
356,2022-04-26,1,567000,6,2022-03-29,140.0,26398000.0
357,2022-04-26,2,4721000,36,2022-03-29,140.0,26398000.0
358,2022-04-27,1,1943000,14,2022-03-30,120.0,17630000.0
359,2022-04-27,2,4395500,25,2022-03-30,120.0,17630000.0
360,2022-04-28,1,1102000,9,2022-03-31,130.0,22674000.0
361,2022-04-28,2,11501500,56,2022-03-31,130.0,22674000.0
362,2022-04-29,1,2125000,16,2022-04-01,124.0,21672000.0
363,2022-04-29,2,11598500,61,2022-04-01,124.0,21672000.0
364,2022-04-30,1,1488000,8,2022-04-02,160.0,30340000.0
365,2022-04-30,2,12838000,55,2022-04-02,160.0,30340000.0
366,2022-05-01,1,2152000,12,2022-04-03,80.0,11838000.0
367,2022-05-01,2,10235000,38,2022-04-03,80.0,11838000.0
368,2022-05-03,1,9843000,41,2022-04-05,90.0,10764000.0
369,2022-05-03,2,24570000,88,2022-04-05,90.0,10764000.0
370,2022-05-04,1,8968000,40,2022-04-06,76.0,9666000.0
371,2022-05-04,2,17880000,69,2022-04-06,76.0,9666000.0
372,2022-05-05,1,7827000,30,2022-04-07,68.0,10232000.0
373,2022-05-05,2,18650000,60,2022-04-07,68.0,10232000.0
374,2022-05-06,1,5226000,24,2022-04-08,82.0,14188000.0
375,2022-05-06,2,13552000,58,2022-04-08,82.0,14188000.0
376,2022-05-07,1,5934000,25,2022-04-09,74.0,9232000.0
377,2022-05-07,2,14246000,60,2022-04-09,74.0,9232000.0
378,2022-05-08,1,6629000,30,2022-04-10,104.0,19484000.0
379,2022-05-08,2,12499000,54,2022-04-10,104.0,19484000.0
380,2022-05-09,1,3011000,23,2022-04-11,78.0,10324000.0
381,2022-05-09,2,6726000,42,2022-04-11,78.0,10324000.0
382,2022-05-10,1,2795000,19,2022-04-12,56.0,6376000.0
383,2022-05-10,2,8064000,44,2022-04-12,56.0,6376000.0
384,2022-05-11,1,5519000,24,2022-04-13,50.0,6325000.0
385,2022-05-11,2,5917000,36,2022-04-13,50.0,6325000.0
386,2022-05-12,1,3480000,22,2022-04-14,58.0,8300000.0
387,2022-05-12,2,6356000,36,2022-04-14,58.0,8300000.0
388,2022-05-13,1,3019000,27,2022-04-15,86.0,13776000.0
389,2022-05-13,2,5389000,37,2022-04-15,86.0,13776000.0
390,2022-05-14,1,3839000,22,2022-04-16,94.0,13546000.0
391,2022-05-14,2,9195000,56,2022-04-16,94.0,13546000.0
392,2022-05-15,1,4448000,26,2022-04-17,102.0,18609000.0
393,2022-05-15,2,9589000,57,2022-04-17,102.0,18609000.0
394,2022-05-16,1,4112000,24,2022-04-18,68.0,8710000.0
395,2022-05-16,2,8752000,46,2022-04-18,68.0,8710000.0
396,2022-05-17,1,2780000,14,2022-04-19,48.0,6895000.0
397,2022-05-17,2,8543000,47,2022-04-19,48.0,6895000.0
398,2022-05-18,1,2898000,21,2022-04-20,86.0,12804000.0
399,2022-05-18,2,8194000,44,2022-04-20,86.0,12804000.0
400,2022-05-19,1,5104000,31,2022-04-21,84.0,11958000.0
401,2022-05-19,2,6667000,34,2022-04-21,84.0,11958000.0
402,2022-05-20,1,4275000,26,2022-04-22,88.0,12406000.0
403,2022-05-20,2,8038000,48,2022-04-22,88.0,12406000.0
404,2022-05-21,1,5020000,30,2022-04-23,122.0,20123000.0
405,2022-05-21,2,7581500,41,2022-04-23,122.0,20123000.0
406,2022-05-22,1,4668000,24,2022-04-24,110.0,17850000.0
407,2022-05-22,2,10112000,51,2022-04-24,110.0,17850000.0
